f_voter_turnout,year
51.4283696,1999
64.96212146,1999
67.2927721,2004
65.39027319,1999
67.70866214,1999
73.45691323,2014
68.12542225,1999
78.07522246,2014
67.73391688,1999
65.41398601,2004
63.90488263,1998
71.83775777,1999
69.8594424,1999
61.72078849,1998
67.32871545,1999
75.56247675,2009
60.7266315,1996
56.12829108,1996
68.23396814,1999
72.68468331,2009
74.18506795,2004
66.14563959,2009
63.84718687,1996
84.09534609,2014
76.88434609,2014
82.09998673,2009
64.04991256,1999
71.9230408,2009
51.93096112,2014
72.32939739,2004
80.40827931,2014
62.89078521,1996
74.53389293,2004
64.75956753,2004
74.45709418,2009
50.317841,2009
47.19319045,1996
61.68087499,1999
70.79071851,2014
63.45649733,1996
50.5023173,1998
73.04827784,2009
64.02374505,1996
66.47833829,1998
64.76312286,2004
66.53292377,2004
79.92700339,2009
81.24201232,2009
70.8024124,1998
67.56212079,1999
65.82478962,1999
63.80578808,1996
63.96668078,1999
79.98672501,2014
65.20564122,1999
75.17270676,2014
60.69590728,1998
51.75549896,2004
62.35914318,1998
64.54131109,1998
61.80522742,1998
52.80370736,2009
55.85112326,1998
63.93876035,1998
70.52293425,1998
67.07955165,1998
57.36692341,1998
57.96211791,1996
56.97153111,1996
65.18788784,1998
72.99407377,2014
62.3697187,2004
70.81173284,2004
71.15936554,1998
77.57693738,2009
64.31381299,1999
67.03265813,2004
59.07037215,1996
66.34401052,1999
67.05540763,1998
71.37986161,1998
75.1399654,2004
82.04307738,2014
70.26015215,2014
81.74088523,2014
58.73078285,2004
75.20670028,2014
77.58025576,2009
65.13296054,1999
71.63311335,1999
73.50095916,1999
78.06784629,2004
74.9639366,2009
56.87366866,1996
75.43415716,2009
61.08770506,1998
65.45545966,1996
68.33597748,1999
64.90158303,1996
69.14859771,2004
67.40881753,1996
48.38945803,1996
74.26474258,2004
79.39519244,2009
58.74965108,1996
73.63101342,2014
59.25089409,1998
76.09546377,2014
54.29462675,1996
67.79619396,1996
68.65885249,1999
65.53812524,1999
62.28038463,1998
75.51654832,2014
64.41631844,2009
47.98058664,1996
71.62410611,2014
69.90434906,2014
60.75698501,1996
83.15251376,2009
53.77601919,1996
65.96650147,1999
71.00952662,2009
76.26101059,2009
71.68441424,1999
73.90583052,2009
62.45552267,1996
81.31291797,2014
62.19295478,2004
62.27850294,2004
68.04081888,2014
75.39475423,2004
55.0614948,1996
80.35616742,2014
51.21166974,1998
55.08563528,1996
62.99755207,1998
69.61062834,1999
81.74830584,2014
60.10615049,1996
58.22741498,1998
67.57367831,1998
76.06677189,2009
63.67025053,1996
68.07813531,2009
71.48511005,2009
69.62336142,1999
48.95456346,2004
64.36546832,2009
76.66212599,2014
73.62807491,1999
74.47463331,2004
61.02258306,2004
81.38215951,2014
55.04750996,1996
75.96572879,2014
83.63810289,2014
75.33469787,2014
69.17190819,2009
75.75855702,2014
68.56971792,2009
69.47473702,1996
58.6178057,1998
64.64170211,1996
67.39823132,2009
70.67089773,1998
68.29900454,2009
73.20296644,2009
65.72872505,1996
61.77319899,2009
68.86070499,1998
74.57456231,2004
50.72476555,1998
69.55021339,2004
68.06011678,2004
69.95372942,1998
80.18767493,2014
74.64618473,1999
83.48263585,2009
64.21625748,1999
77.9743831,2014
66.12932596,1999
76.40974209,2009
59.47122588,1996
65.46233545,1998
77.27149616,2009
59.80325556,2014
55.92826519,1996
64.91419531,1999
71.85354452,1999
51.64136086,2014
80.39170782,2014
58.6987993,1999
60.07143137,1998
59.30483671,1998
73.81139657,2004
64.2792354,1999
64.81063216,1999
62.44209114,1999
67.70713741,2009
50.79322771,2014
50.23959549,1996
72.49081761,2014
68.42933987,2004
77.18492959,2014
75.08040761,2009
66.1680284,2004
61.83482971,1999
70.43048344,2004
67.49028329,1996
72.37351148,2004
60.39707033,1996
82.44174721,2014
55.366051,1996
67.13181682,1998
62.82431609,2004
60.36997116,1998
66.53755375,2004
66.58428479,2009
62.24033078,1998
60.40955166,1996
69.86429202,1998
66.58740545,1996
67.89480342,1996
49.89415018,2009
81.29346809,2014
64.25706236,1999
77.88735003,2014
77.20386756,2009
69.50629113,2004
67.04741931,1998
61.74634617,1998
69.74103442,2004
56.93154169,1998
64.3731697,1999
69.42511178,2004
74.01176947,2009
62.06398777,1996
75.55718895,2004
74.61928765,1999
65.39179591,2004
62.25399357,2004
52.82670114,1998
59.36028065,1998
72.8887427,2009
82.15692297,2014
58.05392404,1996
77.50179847,2014
77.82034795,2009
73.01583935,2004
74.15159156,2004
74.13374768,2004
81.63652803,1999
55.44424734,2004
59.59725057,1998
55.40463241,1998
70.87499631,1999
53.07109524,1996
75.10749257,2014
69.92008162,2009
84.28152839,2014
65.40403577,2009
52.17553838,1996
55.22732706,2004
59.74318566,1998
60.03497083,1998
73.8436337,1999
68.70386042,1996
57.34827563,2009
80.55328301,1998
68.29853315,1999
57.45418928,1998
40.27924041,1998
72.78897821,1998
74.35989513,1999
71.77052406,1999
74.50025745,2004
71.7840857,1998
68.28379222,2009
29.09662895,1998
68.79914393,2004
65.53545618,2004
78.74579882,1996
64.67694384,1998
74.20291794,1996
73.29233981,2004
64.17074217,2009
65.45576757,2009
67.61103943,2009
67.82552801,2004
75.96377085,1996
79.65775474,2014
80.49161738,2014
79.01808912,1998
65.97486847,2009
63.92261113,1999
36.91080802,1998
73.19709882,1999
62.34929367,1999
79.83548529,1996
84.70135869,2014
78.55819891,2014
68.93461532,2004
66.88370554,1998
66.18891762,1999
69.60324702,2009
72.35928206,1996
63.36686965,1998
79.5081479,1996
72.36511382,1999
75.046771,2009
57.266951,2004
64.30643836,2004
62.08735405,2009
77.32370811,2014
66.19295563,2009
73.36804086,2014
67.66880755,1996
70.45807368,1999
77.55124041,2014
72.59309618,1996
86.27909192,1996
69.9933324,1999
67.24778467,2004
77.63640846,1999
71.30350412,2009
68.43964521,2004
87.66872396,2014
57.04206754,2004
70.04956478,2009
61.87411867,2004
81.76977122,1996
68.72214611,2009
76.89117993,2014
77.82901575,2014
80.73665042,2014
80.34418901,2014
81.27263864,1996
56.92454183,1999
78.6999653,2014
73.55200373,1996
60.94142071,2009
73.46436722,2014
73.97873661,1999
63.1739748,2004
79.3747077,1996
57.89176343,1998
58.56852885,2004
29.11486114,2009
42.24708334,1999
50.39322004,2009
52.2133139,2014
67.53108415,1996
59.28164613,1999
49.46311164,1996
28.31342829,2009
52.85530779,1999
50.16217402,1996
55.84224973,1999
60.65813543,1998
56.72624396,1996
45.51945704,2014
47.87263361,1996
49.60895068,1996
35.37692191,2009
47.5296088,1998
65.25705315,1998
42.93977673,2009
50.17217578,1999
43.48123754,2009
65.27351563,1999
63.82874947,1999
67.49561424,1996
64.84417573,1999
41.35288426,2009
59.30645899,2004
53.76417256,2009
52.53884529,1999
52.32083919,1996
43.6057424,2009
59.41455571,1998
56.27741976,1998
52.92519178,1998
59.48918626,1998
49.01851764,1996
57.70164958,2014
74.52200583,1998
52.21917775,1996
36.89557246,2009
61.19366169,1999
44.32950007,1996
63.62547444,2014
60.59687996,2004
47.86051144,2004
64.93996334,2014
60.95803905,2014
39.5898399,2004
71.16534098,1998
56.357311,1996
51.56278684,2004
35.9986203,2009
54.60961748,2004
62.5557748,1998
46.46750226,2014
57.31350265,2004
68.77078173,1998
60.84095875,2004
64.20610752,2014
55.57581894,1998
51.59337147,2004
56.1963441,1999
57.25227989,1996
37.33656718,1998
52.41034071,1996
60.34380032,2004
57.20841678,2009
49.97588918,1998
59.41651431,1996
38.75090063,1996
62.25227083,1999
60.14314288,1999
59.95399591,1999
41.25167202,2009
68.63746872,2004
46.0583357,2009
44.35557423,2009
54.47743285,1998
37.23069441,2009
61.21812534,1999
55.64984806,1999
44.60114617,2004
58.55872995,2014
46.37422241,1999
49.82816585,2014
50.76526799,2004
57.49735942,1999
64.20167601,2014
59.03700125,2014
42.23059452,2009
35.3393051,1996
41.91179923,1999
57.12531106,1999
47.04563494,1999
54.70291258,1998
50.70667798,2004
60.0023071,1999
52.73349005,2009
53.75636276,2004
60.29689571,1999
45.29957324,1999
68.19775836,1998
54.11765687,1998
45.75592083,1996
52.8475926,2014
79.55121305,1998
65.97432299,1996
53.96446566,1996
52.06167041,1996
60.73678965,1998
48.70907109,1998
58.27670176,1999
64.88292912,2004
41.7077801,2004
55.54204305,1999
57.68340803,2009
63.47177892,1996
62.30323961,1996
71.40684318,1999
42.60289659,2004
63.64029945,1998
54.54558731,2004
53.0762912,1996
62.78285307,1998
44.32626811,1996
46.06120529,1999
44.48521352,1996
55.48494449,1999
50.56615649,2009
62.49193028,1996
43.70694321,2004
56.47371412,2004
51.95543425,2004
67.61188754,2014
61.87102026,1998
45.26035369,2004
59.99352267,1999
63.26848639,1998
45.73002604,2014
48.10860202,2009
62.85808832,1998
58.32844849,2014
43.50988031,1996
63.5650134,2014
60.40602884,2014
38.12368082,2009
41.96960248,2009
47.97961688,2009
35.50304127,2009
59.56716977,2014
55.53766987,2014
63.48573758,2014
47.31544754,2004
0,1998
33.59605892,1996
33.96378547,1996
54.0690253,1998
45.35782383,2009
47.98795342,1999
42.60231602,2009
37.39920875,2009
46.28999628,1998
52.40854821,2004
51.83031449,2014
50.06368459,2014
63.78462628,2014
41.36404571,2014
54.42022307,2014
47.6492238,2009
52.58045813,1996
34.65590267,2009
58.11878344,1998
35.42644725,2009
71.14551102,2014
59.69235457,1999
50.68378496,1996
60.45921959,2014
47.5537041,2009
53.49246192,1998
47.07942884,2009
61.36067502,1996
43.67408954,2004
61.97757208,2014
59.9023152,2014
61.4447205,2014
33.14172126,2004
61.59496985,2014
57.14923971,2014
70.96874662,1996
46.92855116,2004
60.82548371,2014
48.72352479,1998
58.22093283,2004
49.43752188,2004
60.94120004,2004
49.67570934,1998
45.65604737,2004
36.60773995,2009
52.73490916,1999
51.71018535,2014
47.82417346,1998
57.49200322,2004
59.8046783,1999
45.52523947,1999
62.04874052,1996
42.72682494,1996
40.83068626,2009
49.96392672,1998
53.05636444,2014
33.05131452,2004
56.53007406,1996
49.70695638,1996
59.3803499,1999
66.35594766,1999
69.80035426,1999
50.53493256,2009
54.4388547,1999
54.75082437,2004
50.95687807,2014
66.96667452,2014
52.64480687,1998
56.48093025,1998
59.29113051,2004
56.44838903,2014
38.65833501,1996
33.8349043,1998
61.40051804,1996
40.4831608,2009
41.38293798,2009
50.68071056,2004
45.43569398,2004
55.18125211,2009
68.94456766,2014
30.03119768,2009
64.6639509,1998
57.20026166,2004
63.89570968,1999
50.65439381,1998
57.88348598,2004
59.12011162,1998
40.83876122,1999
54.02980676,1996
50.67699354,1996
56.95074055,2004
50.33110588,2009
79.246526,2014
78.53813513,2014
56.92350093,2004
40.09421714,1999
57.5992814,2009
58.402952,1998
54.38094791,1998
48.3840258,1998
45.66180592,1999
49.9035324,2004
44.22392364,2004
54.18029705,2009
64.21774777,2014
52.65990517,1998
44.92903451,2009
45.41621282,1999
26.14638531,1996
48.6016745,1999
28.58938567,1996
51.26754054,2014
52.63231203,1999
56.93931111,1998
57.17467,1998
40.85162,2004
54.00032115,1998
33.76302311,2009
35.41216393,1999
35.2062398,2004
59.97071501,2014
47.98044265,1998
63.50104762,1998
37.96442783,2004
29.32573291,1996
42.33824799,2004
44.89088394,2004
49.36849443,2014
20.77204286,1996
53.99338929,1999
51.41081334,1999
44.20166814,2009
34.60885654,2004
24.80829006,1996
42.22459274,2004
54.80385599,2014
45.34635,2009
62.99510985,1998
51.62933738,2014
72.32904324,2014
28.48385532,1996
38.81547194,2009
55.95925828,1998
64.37165004,1998
33.61951737,1996
33.59622486,1996
38.60064482,1999
35.2387637,1999
60.31464217,1998
54.05035647,1998
40.49621667,2004
24.39959677,1996
26.29966902,1996
38.96766945,2004
68.33513289,2014
38.21290012,1996
38.06612411,1996
52.11136201,2014
58.21285359,2014
33.61158964,2004
31.54249826,1996
37.26415831,1999
22.23728517,1996
47.41608119,2004
46.51638837,1998
33.70466998,1996
42.003492,1999
58.90807603,1998
34.58387484,2004
39.64625212,1999
39.74570363,1999
39.40580514,2009
59.96812727,1998
39.12599294,1996
45.8876547,2014
48.49533434,1998
39.78573108,1999
53.86515967,1999
54.54331436,1998
40.67669037,2004
34.12867336,2004
35.58829618,1999
52.98571597,2004
28.10740738,1996
35.88806673,1999
53.65028901,2014
67.62580174,2014
29.59883886,1999
26.49280803,1996
27.97296328,1999
40.61592057,1999
35.23353967,1996
39.60943791,2009
58.3779738,2014
39.8707947,2009
27.34258146,2004
47.44178176,1999
50.27905663,2009
45.66450591,2009
50.54969108,1998
54.17370656,2014
33.64459838,1999
58.45851591,2014
56.46833285,2014
25.15448301,1996
56.48751938,1998
52.1438358,2014
59.36072227,2014
33.54221062,2009
42.17099619,1998
32.49320993,1996
53.56679738,2009
67.79754379,1998
72.40416191,2014
30.7882064,1999
39.09788122,1996
31.61828086,2004
24.12727866,1996
55.84445673,1998
61.25392737,2014
63.38532015,2014
41.06116106,2004
46.99565118,2004
57.07825647,1998
38.75544338,2009
54.06707739,2009
29.6945649,2004
43.01403807,2009
73.02493392,2014
49.23062263,2004
42.13350746,2009
43.51558799,2009
37.91649399,2009
59.79053759,2014
43.57152418,2009
35.10269349,2009
61.38788541,2014
42.09104365,2009
46.22806844,2009
45.26541781,2009
35.28938326,2004
51.19505878,2004
56.99045808,1998
48.65679158,1999
60.53344146,1998
55.48994172,2009
27.53672276,1996
44.06461703,1996
64.70018171,2014
36.9763386,2009
41.29235791,1999
39.92796943,1999
48.74786037,2004
21.58670973,1996
56.65088012,2004
78.25270259,1996
64.48833181,1999
66.23650478,2004
74.18835795,1996
58.0117433,2009
68.983023,2014
48.58776494,1999
67.26616153,1998
65.85420287,1998
67.94439474,2014
71.30001431,2009
67.21338806,1996
75.69841422,2014
68.30466926,2014
67.24963666,2009
71.10516919,1996
59.95834456,2004
52.83124476,1999
54.87922398,1999
62.57779875,1998
67.37391153,1998
74.19531773,2009
55.70743169,1999
72.17924435,1996
49.69492632,2004
62.17508111,1999
63.2785142,1999
65.53724464,1999
69.80940295,1998
63.4103755,2009
65.01150058,2004
61.99449681,2004
68.93227012,2014
70.50255307,2014
74.8714443,2014
64.91196314,1996
55.45790678,1996
70.98587213,2004
74.86981711,2014
62.18731557,2014
52.71310975,2009
62.25650839,1998
67.35614302,1998
62.58799989,2009
58.33694387,1998
64.13546422,2009
64.92672652,2014
68.08320118,1998
73.48023129,1996
57.43333607,1999
68.40795468,2009
60.6792812,1999
66.52649266,1996
65.30216145,1998
68.53080466,2004
69.65584051,1996
62.31980402,2004
71.53734439,2004
74.40678511,2009
49.40726374,1996
61.91687592,2004
62.41139192,2009
69.01313073,1998
75.63678966,1998
57.68341775,1999
53.19244442,2009
63.60573586,2004
64.07194519,2009
61.59940272,2004
56.41148121,1996
71.39691203,2014
49.62137928,1998
50.92780027,1999
61.09478695,2014
59.67197238,1999
48.58665977,1999
73.18652111,1998
60.35523907,1996
61.85433053,2014
48.07357228,2004
58.63869759,1996
66.65665654,2014
56.4494711,2009
19.53376833,1998
67.47566126,2014
77.54173461,1996
26.15671184,1998
73.36270257,2004
52.87810307,1998
20.95784011,2009
30.58813756,1996
80.0042005,1999
38.79850605,2004
72.55593711,2009
7.246190785,1999
24.17832791,2004
53.85388259,1996
37.00055053,2014
35.45420819,2009
23.17674769,2014
26.56093776,2014
8.265740564,2004
33.8037277,1996
52.54171955,1998
38.6970261,1999
42.45359326,2009
38.34492254,2009
30.18358799,1996
71.07628912,2014
21.4797787,2009
40.07220055,1999
11.66119992,1999
74.5338683,2014
37.79301353,1996
24.87149257,1998
23.80556883,1999
37.60278015,2004
14.04258642,2004
70.651782,1998
64.1148048,1998
62.26805286,1998
67.53548189,1998
60.05284818,1996
59.59131671,1996
60.38791387,1999
53.96433647,1998
42.9646198,1998
65.79809018,1998
67.69476208,1998
66.93514395,1998
63.80022987,1999
60.08769214,2004
42.58457339,2009
71.07251359,2014
55.62730166,2014
57.5280484,2014
45.99406325,1998
60.59909866,2009
42.53533094,1996
63.47791822,1996
61.57911956,2004
71.48839758,1999
54.67753198,1996
49.855025,1996
72.77682009,2014
52.45794718,1996
55.31435332,1998
64.22786736,2014
77.35218428,2014
69.94965747,1999
51.39180192,2009
74.11716219,2009
56.8630745,2009
56.25767476,2004
67.84016938,2004
66.80389896,1996
62.98850489,1998
60.63521962,1996
67.58575987,2009
70.18291683,1999
65.60893463,2014
60.39887545,1999
59.68562854,1998
71.43420119,2014
70.22980013,1999
56.86132438,1999
70.1009626,1999
66.43152207,1999
65.48220082,1998
57.26404578,2009
52.05456026,1999
67.71432689,2014
69.54367268,1999
75.61535154,1999
66.92284691,1999
67.61910845,1998
62.56855676,2009
52.23027052,2009
70.10027898,1996
60.12098959,1999
57.44850463,2004
60.40397625,2009
35.14624115,1996
52.73905856,1996
74.73517495,2014
70.95243197,1999
59.9530728,1996
62.87706776,1999
62.9399278,1998
45.47597699,2009
71.07543092,2014
70.48457334,2004
54.39362064,1999
62.08010462,2014
56.05687508,1998
54.03774566,1999
74.37510988,2004
36.65882575,1996
42.27163313,1996
73.80326493,2014
62.84827657,2014
73.77981139,2014
50.26198063,1996
65.83495246,2009
59.88153324,1999
54.47134911,2014
67.53089,1996
67.69250714,1999
55.30294686,1998
67.33450482,2004
69.90087802,1998
58.79548395,1996
70.74944496,2014
63.2328868,1998
47.38118319,2004
62.73408455,1996
45.44555555,2009
51.57896176,1996
56.63100807,2014
63.01895899,1996
66.8351936,1999
65.7055398,2014
65.08841169,1998
72.67892855,2014
65.93369548,2009
70.60957936,2004
47.18749225,2009
67.7769964,2004
69.01022716,2004
68.32183858,2014
71.14300586,2004
59.68128149,2014
54.33739664,2014
57.12916227,2004
56.23863305,2014
51.31911493,2009
54.7804385,2004
44.36270146,2009
66.73499559,2014
64.9850965,2009
67.94692258,2009
59.57936428,1996
66.70362311,2009
64.93908201,1996
54.300392,1998
50.10591396,1996
59.64383787,2009
62.70800326,2004
63.28061324,1996
71.71763989,1998
68.81939534,2004
67.47731236,1999
52.57418681,2009
68.51373169,2004
68.68448116,2004
66.30965307,2004
52.52860983,2004
69.68394743,2004
64.92779786,2004
65.73451764,2009
64.29030033,2004
47.00525627,1996
68.40550173,1999
43.01416214,2009
71.04925588,2014
61.78186779,2004
74.46613777,1998
60.61007681,1998
55.09021408,2004
60.99467632,1998
66.10493893,1999
66.9980005,2009
71.37234505,1999
56.69889094,1996
54.52113368,1998
62.50263608,2004
73.28629721,1999
61.48307208,1998
69.254227,2014
66.04861688,2014
64.86375301,2009
66.92707269,1999
56.59567975,2009
69.32801728,2004
59.2276696,1996
43.11220344,2009
57.307835,1998
68.02561119,2004
70.94863258,1998
71.75079541,1998
67.12916453,1996
69.86437777,1996
76.38228307,1999
79.76727242,1999
61.8960715,1998
76.83758143,1998
67.8734379,1996
67.82220174,1998
68.85405686,1998
71.54255483,1996
75.31009025,2004
76.31434767,1996
71.36830736,1998
78.42414608,1999
68.60862115,2009
75.98932044,2004
72.59902089,1999
70.737608,2009
67.98798093,2009
73.16195555,1996
71.75933853,2004
71.80052678,1999
69.73641374,1999
66.2379635,2004
66.6196579,1999
79.24816831,2014
71.44668352,1998
68.09104403,1996
67.93451907,1996
66.23469898,1996
71.33780068,2014
66.23661937,1998
65.00957286,1998
66.44346888,2014
64.91155537,2009
68.38420528,2014
69.73754385,1996
83.82099218,2014
