,StateName,stateabb,ST_CODE,bigstate,PCNAME,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,n,L,Representation,Constituency1
1802,Punjab,PB,S19,1,Firozpur,808857,713236,1522111,590404,514569,1104973,2014,308,,1,FIROZPUR
1511,Maharashtra,MH,S13,1,Gadchiroli-Chimur,752751,715686,1468437,537674,489980,1027654,2014,235,,1,GADCHIROLI-CHIMUR
738,Gujarat,GJ,S06,1,Gandhinagar,900744,833210,1733972,617164,511490,1128656,2014,106,,0,GANDHINAGAR
1934,Rajasthan,RJ,S20,1,Ganganagar,909749,808665,1718414,678212,573241,1251453,2014,312,,0,GANGANAGAR
3173,Uttarakhand,UK,S28,2,Garhwal,651868,615350,1267218,320955,357047,678002,2014,527,,1,GARHWAL
334,Assam,AS,S03,1,Gauhati,988067,934203,1922270,784535,727081,1511616,2014,51,,0,GAUHATI
2505,Uttar Pradesh,UP,S24,1,Gautam Buddha Nagar,1105732,880377,1986109,707052,491342,1198394,2014,391,,0,GAUTAM BUDHHA NAGAR
512,Bihar,BH,S04,1,Gaya (SC),799210,702311,1501521,442912,364010,806922,2014,96,,1,GAYA
2942,West Bengal,WB,S25,1,Ghatal,835803,774672,1610489,690945,675066,1366019,2014,490,,0,GHATAL
2692,Uttar Pradesh,UP,S24,1,Ghaziabad,1333055,1024455,2357553,781962,559856,1341818,2014,390,,0,GHAZIABAD
2518,Uttar Pradesh,UP,S24,1,Ghazipur,983352,818105,1801519,528986,457272,986259,2014,453,,0,GHAZIPUR
2515,Uttar Pradesh,UP,S24,1,Ghosi,1040033,850934,1891112,547380,492131,1039511,2014,448,,0,GHOSI
3069,Jharkhand,JH,S27,1,Giridih,811587,700052,1511644,531982,439241,971223,2014,517,,1,GIRIDIH
3090,Jharkhand,JH,S27,1,Godda,840396,750375,1590772,549854,499254,1049108,2014,514,,0,GODDA
2455,Uttar Pradesh,UP,S24,1,Gonda,935167,775608,1710825,487483,384938,872422,2014,437,,0,GONDA
431,Bihar,BH,S04,1,Gopalganj (SC),871590,783212,1654838,444922,458639,903561,2014,75,,0,GOPALGANJ
2486,Uttar Pradesh,UP,S24,1,Gorakhpur,1055209,848621,1903988,582909,457008,1039934,2014,442,,0,GORAKHPUR
991,Karnataka,KA,S10,1,Gulbarga,878311,843454,1721990,522778,474347,997125,2014,151,,0,GULBARGA
1175,Madhya Pradesh,MP,S12,1,GUNA,857327,748265,1605613,580802,394613,975415,2014,198,,0,GUNA
7,Andhra Pradesh,AP,S01,1,Guntur,773037,798804,1572017,613894,623668,1237579,2014,30,,0,GUNTUR
1811,Punjab,PB,S19,1,Gurdaspur,784477,715839,1500337,532763,509586,1042349,2014,299,,1,GURDASPUR
789,Haryana,HR,S07,1,Gurgaon,984370,860536,1844906,727100,593187,1320287,2014,135,,0,GURGAON
1244,Madhya Pradesh,MP,S12,1,GWALIOR,1023937,852908,1876965,594606,395609,990230,2014,197,,0,GWALIOR
572,Bihar,BH,S04,1,Hajipur (SC),895047,754452,1649547,478157,425876,904033,2014,79,,0,HAJIPUR
2549,Uttar Pradesh,UP,S24,1,Hamirpur,949328,788636,1737993,550111,427480,977593,2014,425,,0,HAMIRPUR
827,Himachal Pradesh,HP,S08,2,Hamirpur,633572,614126,1247699,394620,438467,833087,2014,139,,1,HAMIRPUR
2304,Uttar Pradesh,UP,S24,1,Hardoi,939831,774501,1714388,565516,407349,972865,2014,409,,0,HARDOI
3178,Uttarakhand,UK,S28,2,Hardwar,888328,754505,1642873,637480,535871,1173352,2014,530,,0,HARDWAR
980,Karnataka,KA,S10,1,Hassan,789847,771551,1561486,585749,560755,1146508,2014,162,,0,HASSAN
2342,Uttar Pradesh,UP,S24,1,Hathras,969908,788925,1758927,596865,452373,1049240,2014,394,,0,HATHRAS
1475,Maharashtra,MH,S13,1,Hatkanangle,850721,779846,1630604,630470,556249,1186727,2014,271,,0,HATKANANGLE
1035,Karnataka,KA,S10,1,Haveri,807076,751596,1558749,594946,520512,1115458,2014,156,,0,HAVERI
3117,Jharkhand,JH,S27,1,Hazaribagh,812554,706367,1518923,515052,452228,967280,2014,525,,1,HAZARIBAGH
191,Andhra Pradesh,AP,S01,1,Hindupur,734674,711755,1446496,598591,572192,1170783,2014,37,,1,HINDUPUR
1581,Maharashtra,MH,S13,1,Hingoli,839540,746644,1586194,575663,473420,1049085,2014,238,,0,HINGOLI
791,Haryana,HR,S07,1,Hisar,825688,691918,1517606,637448,518049,1155497,2014,130,,1,HISAR
2801,West Bengal,WB,S25,1,Hooghly,836584,793445,1630042,696614,650941,1347556,2014,486,,0,HOOGHLY
1311,Madhya Pradesh,MP,S12,1,HOSHANGABAD,835566,732614,1568206,593375,436990,1030365,2014,211,,0,HOSHANGABAD
1861,Punjab,PB,S19,1,Hoshiarpur,762065,723207,1485286,473084,487516,960600,2014,303,,1,HOSHIARPUR
2964,West Bengal,WB,S25,1,Howrah,802653,702441,1505099,621808,503224,1125035,2014,483,,1,HOWRAH
190,Andhra Pradesh,AP,S01,1,Hyderabad,960480,862516,1823217,525811,445415,971226,2014,9,,0,HYDERABAD
1121,Kerala,KL,S11,1,Idukki,578849,579886,1158735,424879,394103,818982,2014,187,,1,IDUKKI
1215,Madhya Pradesh,MP,S12,1,INDORE,1106595,1008635,2115303,736204,579670,1315896,2014,220,,0,INDORE
1627,Manipur,MN,S14,2,Inner manipur ,417103,438257,855360,307043,334205,641248,2014,272,,1,INNER MANIPUR
1250,Madhya Pradesh,MP,S12,1,JABALPUR,898045,813502,1711621,558905,443227,1002132,2014,207,,0,JABALPUR
2837,West Bengal,WB,S25,1,Jadavpur,811441,784269,1595746,666829,605165,1271994,2014,480,,0,JADAVPUR
1761,Odisha,OD,S18,1,Jagatsinghpur,797923,701680,1499673,587440,544083,1131526,2014,293,,1,JAGATSINGHPUR
516,Bihar,BH,S04,1,Jahanabad,751585,671629,1423246,445501,365502,811003,2014,94,,1,JAHANABAD
1955,Rajasthan,RJ,S20,1,Jaipur,1047469,910349,1957820,714851,578288,1293139,2014,318,,0,JAIPUR
2013,Rajasthan,RJ,S20,1,Jaipur Rural,906858,793449,1700307,556476,452621,1009097,2014,317,,0,JAIPUR RURAL
1772,Odisha,OD,S18,1,Jajpur,696385,607337,1303733,522476,456676,979152,2014,285,,1,JAJPUR
1842,Punjab,PB,S19,1,Jalandhar,808530,742954,1551497,532265,508444,1040709,2014,302,,0,JALANDHAR
2642,Uttar Pradesh,UP,S24,1,Jalaun,1037570,849595,1887189,632802,476033,1108846,2014,423,,0,JALAUN
1408,Maharashtra,MH,S13,1,Jalgaon,909058,798886,1707969,550503,439312,989821,2014,226,,0,JALGAON
1413,Maharashtra,MH,S13,1,Jalna,866612,745444,1612056,595979,469547,1065526,2014,241,,0,JALNA
1920,Rajasthan,RJ,S20,1,Jalore,964046,860922,1824968,581247,506374,1087621,2014,329,,0,JALORE
2956,West Bengal,WB,S25,1,Jalpaiguri,795704,735760,1531469,675989,625242,1301231,2014,461,,1,JALPAIGURI
841,Jammu & Kashmir,JK,S09,2,Jammu,977308,870834,1848155,665098,587601,1252699,2014,146,,0,JAMMU
708,Gujarat,GJ,S06,1,Jamnagar,771003,699937,1470952,484080,364974,849055,2014,112,,1,JAMNAGAR
3098,Jharkhand,JH,S27,1,Jamshedpur,811632,770030,1581665,548089,501033,1049122,2014,520,,0,JAMSHEDPUR
433,Bihar,BH,S04,1,Jamui (SC),828406,722499,1550936,415589,360008,775597,2014,98,,0,JAMUI
2750,West Bengal,WB,S25,1,Jangipur,714890,676753,1391656,559290,559068,1118358,2014,467,,1,JANGIPUR
3042,Chhattisgarh,CT,S26,1,JANJGIR-CHAMPA,895884,848077,1744201,558932,514393,1073325,2014,503,,0,JANJGIR-CHAMPA
2371,Uttar Pradesh,UP,S24,1,Jaunpur,1002938,845831,1848842,527140,479177,1006317,2014,451,,0,JAUNPUR
1979,Rajasthan,RJ,S20,1,JHALAWAR-BARAN,868979,800865,1669844,635617,510625,1146242,2014,336,,0,JHALAWAR-BARAN
500,Bihar,BH,S04,1,Jhanjharpur,895570,772835,1668405,450499,490640,941139,2014,65,,0,JHANJHARPUR
2581,Uttar Pradesh,UP,S24,1,Jhansi,1034112,897888,1932052,734228,586213,1320441,2014,424,,0,JHANSI
2885,West Bengal,WB,S25,1,Jhargram,753841,721269,1475112,645909,610427,1256336,2014,491,,1,JHARGRAM
1962,Rajasthan,RJ,S20,1,Jhunjhunu,894068,803402,1697470,521812,479727,1001539,2014,315,,0,JHUNJHUNU
2008,Rajasthan,RJ,S20,1,Jodhpur,910621,817170,1727791,596225,475258,1071483,2014,327,,0,JODHPUR
314,Assam,AS,S03,1,Jorhat,611283,578203,1189486,483784,447088,930872,2014,56,,1,JORHAT
2842,West Bengal,WB,S25,1,Joynagar,757902,700787,1458724,633029,555516,1188545,2014,477,,1,JAYNAGAR
709,Gujarat,GJ,S06,1,Junagadh,772017,713524,1485543,513928,423553,937481,2014,113,,1,JUNAGADH
660,Gujarat,GJ,S06,1,Kachchh,806343,727439,1533782,519100,423463,942563,2014,101,,1,KACHCHH
204,Andhra Pradesh,AP,S01,1,Kadapa,764947,785380,1550440,583320,606195,1189516,2014,38,,0,KADAPA
2610,Uttar Pradesh,UP,S24,1,Kairana,840629,691073,1531767,617921,500278,1118199,2014,380,,1,KAIRANA
2521,Uttar Pradesh,UP,S24,1,Kaiserganj,928269,783633,1711967,527027,415386,942413,2014,435,,0,KAISERGANJ
155,Andhra Pradesh,AP,S01,1,Kakinada,709103,709050,1418290,555263,538635,1093933,2014,23,,1,KAKINADA
1767,Odisha,OD,S18,1,Kalahandi,750694,723392,1474135,576088,539704,1115803,2014,288,,1,KALAHANDI
291,Assam,AS,S03,1,Kaliabor,752695,704524,1457219,605354,561208,1166562,2014,55,,1,KALIABOR
2199,Tamil Nadu,TN,S22,1,Kallakurichi,707219,705147,1412499,541221,562429,1103662,2014,351,,1,KALLAKURICHI
1540,Maharashtra,MH,S13,1,Kalyan,1044943,876995,1922034,472077,352517,824652,2014,247,,0,KALYAN
2227,Tamil Nadu,TN,S22,1,Kancheepuram,736993,742956,1480123,572957,554099,1127056,2014,343,,1,KANCHEEPURAM
1729,Odisha,OD,S18,1,Kandhamal,582340,561228,1143602,422515,416406,838921,2014,290,,1,KANDHAMAL
838,Himachal Pradesh,HP,S08,2,Kangra,645888,612713,1258601,389575,408414,797989,2014,137,,1,KANGRA
3010,Chhattisgarh,CT,S26,1,KANKER,722916,725459,1448375,515715,500911,1016626,2014,511,,1,KANKER
2283,Uttar Pradesh,UP,S24,1,Kannauj,1000035,808799,1808886,629125,484744,1113869,2014,420,,0,KANNAUJ
2166,Tamil Nadu,TN,S22,1,Kanniyakumari,743378,724348,1467796,488828,501284,990114,2014,376,,1,KANNIYAKUMARI
1090,Kerala,KL,S11,1,Kannur,548454,621812,1170266,438891,506993,945884,2014,176,,1,KANNUR
2502,Uttar Pradesh,UP,S24,1,Kanpur,889344,721802,1611248,485562,349156,834718,2014,421,,0,KANPUR
2926,West Bengal,WB,S25,1,Kanthi,777345,713061,1490409,663897,626338,1290235,2014,489,,1,KANTHI
361,Bihar,BH,S04,1,Karakat,849474,730224,1580558,457406,332394,789800,2014,93,,0,KARAKAT
1874,Rajasthan,RJ,S20,1,KARAULI-DHOLPUR,845548,703920,1549468,491202,353973,845175,2014,321,,0,KARAULI-DHOLPUR
342,Assam,AS,S03,1,Karimganj,615198,550799,1165997,481673,404641,886314,2014,45,,1,KARIMGANJ
105,Andhra Pradesh,AP,S01,1,Karimnagar,777440,773291,1550810,550760,569382,1120142,2014,3,,0,KARIMNAGAR
770,Haryana,HR,S07,1,Karnal,913321,771000,1684321,666729,526629,1193358,2014,131,,0,KARNAL
2113,Tamil Nadu,TN,S22,1,Karur,641693,656598,1298322,510504,533334,1043857,2014,360,,1,KARUR
1131,Kerala,KL,S11,1,Kasaragod,595047,648683,1243730,459280,514333,973613,2014,175,,1,KASARAGOD
522,Bihar,BH,S04,1,Katihar,769044,677392,1446478,495600,481934,977534,2014,69,,1,KATIHAR
2327,Uttar Pradesh,UP,S24,1,Kaushambi,954848,783372,1738509,491070,418758,909828,2014,428,,0,KAUSHAMBI
1763,Odisha,OD,S18,1,Kendrapara,828491,726929,1555444,577477,558439,1135916,2014,292,,0,KENDRAPARA
1765,Odisha,OD,S18,1,Keonjhar,691369,655285,1346683,550293,532437,1082730,2014,281,,1,KEONJHAR
1852,Punjab,PB,S19,1,Khadoor Sahib,817134,746233,1563409,534962,505352,1040314,2014,301,,0,KHADOOR SAHIB
514,Bihar,BH,S04,1,Khagaria,800786,705750,1506587,445941,450160,896101,2014,83,,1,KHAGARIA
1201,Madhya Pradesh,MP,S12,1,KHAJURAHO,907340,795472,1702833,517233,357041,874283,2014,202,,0,KHAJURAHO
153,Andhra Pradesh,AP,S01,1,Khammam,712310,727861,1440267,586887,592349,1179236,2014,17,,1,KHAMMAM
1331,Madhya Pradesh,MP,S12,1,KHANDWA,912764,846610,1759417,677300,578287,1255596,2014,222,,0,KHANDWA
1332,Madhya Pradesh,MP,S12,1,KHARGONE,866905,836341,1703272,613926,537792,1151722,2014,221,,0,KHARGONE
687,Gujarat,GJ,S06,1,Kheda,833232,766227,1599476,540239,411083,951323,2014,117,,0,KHEDA
2606,Uttar Pradesh,UP,S24,1,Kheri,904863,774542,1679466,606219,471614,1077848,2014,406,,0,KHERI
3066,Jharkhand,JH,S27,1,Khunti,565457,546398,1111856,373314,364162,737476,2014,522,,1,KHUNTI
482,Bihar,BH,S04,1,Kishanganj,762874,676103,1438990,471096,457126,928222,2014,68,,1,KISHANGANJ
3087,Jharkhand,JH,S27,1,Kodarma,870003,769641,1639645,535308,489593,1024901,2014,516,,0,KODARMA
292,Assam,AS,S03,1,Kokrajhar,776151,729307,1505472,636473,587031,1223504,2014,49,,1,KOKRAJHAR
958,Karnataka,KA,S10,1,Kolar,755450,737386,1492977,581924,544042,1125973,2014,174,,1,KOLAR
1608,Maharashtra,MH,S13,1,Kolhapur,909286,849002,1758293,663565,595421,1258986,2014,270,,0,KOLHAPUR
2879,West Bengal,WB,S25,1,Kolkata Dakshin,890251,795037,1685296,626618,540007,1166625,2014,481,,0,KOLKATA DAKSHIN
2897,West Bengal,WB,S25,1,Kolkata Uttar,797437,636542,1433985,534806,419974,954783,2014,482,,1,KOLKATA UTTAR
1129,Kerala,KL,S11,1,Kollam,575296,644119,1219415,406898,469024,875922,2014,192,,1,KOLLAM
957,Karnataka,KA,S10,1,Koppal,770316,764694,1535105,526117,480597,1006716,2014,154,,1,KOPPAL
1680,Odisha,OD,S18,1,Koraput,629268,671019,1300437,485037,504205,989243,2014,298,,1,KORAPUT
3005,Chhattisgarh,CT,S26,1,KORBA,729951,693664,1423729,545187,506882,1052069,2014,504,,1,KORBA
1957,Rajasthan,RJ,S20,1,Kota,913387,831152,1744539,632156,518136,1150292,2014,335,,0,KOTA
1085,Kerala,KL,S11,1,Kottayam,573572,587893,1161465,426604,404356,830960,2014,188,,1,KOTTAYAM
1072,Kerala,KL,S11,1,Kozhikode,571709,610775,1182484,456299,484028,940327,2014,179,,1,KOZHIKODE
2153,Tamil Nadu,TN,S22,1,Krishnagiri,705468,674363,1379957,546295,522804,1069117,2014,346,,1,KRISHNAGIRI
2960,West Bengal,WB,S25,1,Krishnanagar ,769981,706791,1476783,638727,607902,1246629,2014,470,,1,KRISHNANAGAR
117,Andhra Pradesh,AP,S01,1,Kurnool,738832,742805,1481791,543424,519253,1062680,2014,35,,1,KURNOOL
795,Haryana,HR,S07,1,Kurukshetra,807700,690759,1498459,618481,517170,1135651,2014,128,,1,KURUKSHETRA
2491,Uttar Pradesh,UP,S24,1,Kushi Nagar,930637,750240,1680992,505771,444293,950064,2014,443,,0,KUSHI NAGAR
869,Jammu & Kashmir,JK,S09,2,Ladakh,86256,80503,166763,57162,60002,117164,2014,144,,1,LADAKH
319,Assam,AS,S03,1,Lakhimpur,735340,695740,1431080,572467,539555,1112022,2014,58,,1,LAKHIMPUR
3249,Lakshadweep,LK,U06,2,Lakshadweep ,25433,24489,49922,21584,21655,43239,2014,542,,1,LAKSHADWEEP
2307,Uttar Pradesh,UP,S24,1,Lalganj,906738,754613,1661470,456872,441988,898860,2014,446,,0,LALGANJ
1529,Maharashtra,MH,S13,1,Latur,902170,784780,1686957,576599,477934,1054533,2014,264,,0,LATUR
3129,Jharkhand,JH,S27,1,Lohardaga,578880,540264,1119144,333825,317508,651333,2014,523,,1,LOHARDAGA
2380,Uttar Pradesh,UP,S24,1,Lucknow,1052171,897693,1949956,580513,450547,1031060,2014,413,,0,LUCKNOW
1823,Punjab,PB,S19,1,Ludhiana,835632,725551,1561201,601709,499984,1101693,2014,305,,0,LUDHIANA
2575,Uttar Pradesh,UP,S24,1,Machhlishahr ,1026789,865121,1891969,512798,483995,996793,2014,452,,0,MACHHLISHAHR
245,Andhra Pradesh,AP,S01,1,Machilipatnam,675783,693423,1369311,564406,569695,1134104,2014,28,,1,MACHILIPATNAM
1363,Maharashtra,MH,S13,1,Madha,912715,814603,1727322,594868,483305,1078173,2014,266,,0,MADHA
391,Bihar,BH,S04,1,Madhepura,899152,826507,1725693,508782,525869,1034651,2014,71,,0,MADHEPURA
498,Bihar,BH,S04,1,Madhubani,878017,749809,1627832,413708,446640,860348,2014,64,,0,MADHUBANI
2023,Tamil Nadu,TN,S22,1,Madurai,717175,724206,1441434,483389,490525,973940,2014,369,,1,MADURAI
176,Andhra Pradesh,AP,S01,1,Mahabubabad,688341,698868,1387288,560443,560406,1120853,2014,16,,1,MAHABUBABAD
2513,Uttar Pradesh,UP,S24,1,Maharajganj,946234,796767,1743131,549757,510481,1060238,2014,441,,0,MAHARAJGANJ
499,Bihar,BH,S04,1,Maharajganj,874822,767218,1642068,420232,426095,846327,2014,77,,0,MAHARAJGANJ
3030,Chhattisgarh,CT,S26,1,MAHASAMUND,757694,758435,1516177,576664,554172,1130836,2014,509,,1,MAHASAMUND
38,Andhra Pradesh,AP,S01,1,Mahbubnagar ,713064,705447,1418668,509912,499391,1009304,2014,11,,1,MAHBUBNAGAR
722,Gujarat,GJ,S06,1,Mahesana,777821,720375,1498219,541116,456612,997735,2014,104,,1,MAHESANA
2626,Uttar Pradesh,UP,S24,1,Mainpuri,900568,752461,1653058,579581,418952,998538,2014,399,,0,MAINPURI
1115,Kerala,KL,S11,1,Malappuram,598207,600237,1198444,415672,437264,852936,2014,180,,1,MALAPPURAM
2808,West Bengal,WB,S25,1,Maldaha Dakshin,692386,654741,1347143,545088,544292,1089380,2014,466,,1,MALDAHA DAKSHIN
2864,West Bengal,WB,S25,1,Maldaha Uttar ,740749,684660,1425428,578561,582591,1161152,2014,465,,1,MALDAHA UTTAR
200,Andhra Pradesh,AP,S01,1,Malkajgiri,1723261,1459417,3183083,877156,741285,1618441,2014,7,,0,MALKAJGIRI
835,Himachal Pradesh,HP,S08,2,Mandi,587833,562575,1150408,377093,347977,725070,2014,138,,1,MANDI
1262,Madhya Pradesh,MP,S12,1,MANDLA,926166,898514,1824702,641219,575693,1216914,2014,208,,0,MANDLA
1174,Madhya Pradesh,MP,S12,1,MANDSOUR,838141,788383,1626556,639978,520386,1160374,2014,217,,0,MANDSOUR
969,Karnataka,KA,S10,1,Mandya,839052,830121,1669262,604491,587306,1191805,2014,166,,0,MANDYA
336,Assam,AS,S03,1,Mangaldoi,791539,724137,1515676,651247,581802,1233049,2014,52,,1,MANGALDOI
2294,Uttar Pradesh,UP,S24,1,Mathura,931944,750142,1682260,619776,457879,1077656,2014,395,,0,MATHURA
2887,West Bengal,WB,S25,1,Mathurapur,772277,716496,1488785,662025,607691,1269716,2014,478,,1,MATHURAPUR
1484,Maharashtra,MH,S13,1,Maval,1035961,917770,1953741,646904,527044,1173949,2014,256,,0,MAVAL
1144,Kerala,KL,S11,1,Mavelikkara,592702,659966,1252668,416193,470987,887180,2014,190,,1,MAVELIKKARA
2221,Tamil Nadu,TN,S22,1,Mayiladuthurai,679940,670377,1350318,503104,520845,1023950,2014,365,,1,MAYILADUTHURAI
1773,Odisha,OD,S18,1,Mayurbhanj,670100,657438,1327555,522251,528655,1050906,2014,282,,1,MAYURBHANJ
149,Andhra Pradesh,AP,S01,1,Medak,775560,760532,1536166,605044,583040,1188084,2014,6,,0,MEDAK
2948,West Bengal,WB,S25,1,Medinipur,770363,729306,1499673,647452,613326,1260778,2014,492,,1,MEDINIPUR
2346,Uttar Pradesh,UP,S24,1,Meerut,971956,792318,1764388,631761,479781,1111542,2014,388,,0,MEERUT
2404,Uttar Pradesh,UP,S24,1,Mirzapur,938504,782028,1720661,557612,449962,1007581,2014,457,,0,MIRZAPUR
2317,Uttar Pradesh,UP,S24,1,Misrikh,948316,777207,1725589,574416,423674,998090,2014,410,,0,MISRIKH
1654,Mizoram,MZ,S16,2,MIZORAM,346219,355951,702170,212673,213477,426150,2014,276,,1,MIZORAM
2657,Uttar Pradesh,UP,S24,1,Mohanlalganj,995313,842841,1838194,637851,476997,1114848,2014,412,,0,MOHANLALGANJ
2614,Uttar Pradesh,UP,S24,1,Moradabad,961935,810050,1771985,626722,499370,1126092,2014,384,,0,MORADABAD
1285,Madhya Pradesh,MP,S12,1,MORENA,938787,763635,1702457,538721,315516,854238,2014,195,,0,MORENA
1584,Maharashtra,MH,S13,1,Mumbai North,972753,811110,1783870,527247,418394,945642,2014,249,,0,MUMBAI NORTH
1460,Maharashtra,MH,S13,1,Mumbai North central,967468,769592,1737084,472010,372857,844867,2014,252,,0,MUMBAI NORTH CENTRAL
1593,Maharashtra,MH,S13,1,Mumbai North East,923016,745254,1668357,485677,375903,861638,2014,251,,0,MUMBAI NORTH EAST
1390,Maharashtra,MH,S13,1,Mumbai North West,986704,788712,1775416,504202,393043,897245,2014,250,,0,MUMBAI NORTH WEST
1622,Maharashtra,MH,S13,1,Mumbai South,828962,656867,1485844,436292,342366,778666,2014,254,,1,MUMBAI SOUTH
1496,Maharashtra,MH,S13,1,Mumbai South central,793802,654025,1447886,424310,343790,768130,2014,253,,1,MUMBAI SOUTH CENTRAL
351,Bihar,BH,S04,1,Munger,937897,782040,1719984,505931,408329,914268,2014,86,,0,MUNGER
